Projeto Correli
Horário de início do ensaio: 2019-11-28 20:24:21.755776
Escolha de intervalo: Tempo
Intervalo escolhido: 1000
Fundo de escala: 30

IMAGEM         TENSAO         FORCA         FORCA_P            TENSAO_D            TEMPO
1            0.0006            0.0014            0.0014            0.0006            11636
2            0.0006            0.0014            0.0014            0.0006            1000
3            0.0006            0.0014            0.0018            0.0007            1002
4            0.0006            0.0014            0.0018            0.0007            1002
5            0.0006            0.0014            0.0014            0.0006            1002
6            0.0006            0.0014            0.0014            0.0006            1003
7            0.0006            0.0014            0.0014            0.0006            1001
8            0.0007            0.0018            0.0014            0.0006            1003
9            0.0007            0.0018            0.0014            0.0006            1001
10            0.0006            0.0014            0.0014            0.0006            1003
11            0.0006            0.0014            0.0014            0.0006            1001
12            0.0006            0.0014            0.0018            0.0007            1003
13            0.0006            0.0014            0.0014            0.0006            1001
14            0.0006            0.0014            0.0014            0.0006            1002
15            0.0006            0.0014            0.0014            0.0006            1003
