Projeto Correli
Horário de início do ensaio: 2019-11-28 20:20:22.608831
Escolha de intervalo: Tempo
Intervalo escolhido: 1000
Fundo de escala: 30

IMAGEM         TENSAO         FORCA         FORCA_P            TENSAO_D            TEMPO
1            2.3762            5.8012            5.7289            2.3466            8627
2            2.3762            5.8012            5.7953            2.3738            1006
3            2.3766            5.8022            5.7957            2.3739            1003
4            2.3768            5.8026            5.7962            2.3741            1001
5            2.3771            5.8035            5.7962            2.3741            1002
6            1.8467            4.5085            4.4559            1.8251            1001
7            0.0399            0.0975            0.0998            0.0409            1002
8            0.0000            0.0000            -0.0005            -0.0002            1001
9            0.0000            0.0000            0.0000            0.0000            1004
10            0.0000            0.0000            -0.0005            -0.0002            1000
11            0.0000            0.0000            0.0000            0.0000            1004
12            0.0000            0.0000            0.0000            0.0000            1000
13            0.0000            0.0000            0.0000            0.0000            1001
14            0.0180            0.0439            0.0449            0.0184            1001
15            0.0411            0.1003            0.0998            0.0409            1003
16            0.0405            0.0989            0.0989            0.0405            1001
17            0.0403            0.0984            0.0980            0.0401            1001
18            0.0399            0.0975            0.0970            0.0398            1002
19            0.0401            0.0980            0.0975            0.0399            1001
20            0.0405            0.0989            0.0984            0.0403            1002
21            0.0405            0.0989            0.0989            0.0405            1001
22            0.0409            0.0998            0.0993            0.0407            1002
23            0.0407            0.0993            0.0989            0.0405            1001
24            0.0407            0.0993            0.0989            0.0405            1002
25            0.0411            0.1003            0.0998            0.0409            1002
26            0.0405            0.0989            0.0984            0.0403            1002
27            0.0407            0.0993            0.0989            0.0405            1001
28            0.0407            0.0993            0.0993            0.0407            1002
