Projeto Correli
Horário de início do ensaio: 2020-02-18 19:42:20.667159
Escolha de intervalo: Tempo
Intervalo escolhido: 2000
Fundo de escala: 250

IMAGEM       TENSAO         FORCA         FORCA_P            TENSAO_P            INTERVALO
1            1.8368            18.6844            18.8942            1.8574            88866
2            1.8375            18.6920            18.8904            1.8570            2005
3            1.8375            18.6920            18.8904            1.8570            2008
4            1.8375            18.6920            18.8904            1.8570            2007
5            1.8375            18.6920            18.8904            1.8570            2008
6            1.8375            18.6920            18.8904            1.8570            2009
7            1.8375            18.6920            18.8942            1.8574            2007
8            1.8375            18.6920            18.8866            1.8566            2008
9            1.8379            18.6958            18.8904            1.8570            2007
10            1.8375            18.6920            18.8904            1.8570            2008
11            1.8375            18.6920            18.8904            1.8570            2008
12            1.8375            18.6920            18.8904            1.8570            2007
13            1.8375            18.6920            18.8904            1.8570            2008
14            1.8375            18.6920            18.8904            1.8570            2008
15            1.8307            18.6234            18.8065            1.8487            2007
16            1.8135            18.4479            18.7073            1.8390            2008
17            1.8139            18.4517            18.6462            1.8330            2008
18            1.7771            18.0778            18.2838            1.7974            2007
19            1.8195            18.5089            18.7073            1.8390            2008
20            1.8184            18.4975            18.6958            1.8379            2008
21            1.8206            18.5204            18.7187            1.8401            2007
22            1.8292            18.6081            18.8026            1.8484            2008
23            1.8289            18.6043            18.8065            1.8487            2008
24            1.8292            18.6081            18.8065            1.8487            2008
25            1.8296            18.6119            18.8141            1.8495            2008
26            1.8289            18.6043            18.8026            1.8484            2008
27            1.8251            18.5661            18.7645            1.8446            2007
28            1.8255            18.5699            18.7683            1.8450            2008
29            1.8292            18.6081            18.8026            1.8484            2008
30            1.8289            18.6043            18.8065            1.8487            2007
31            1.8292            18.6081            18.8026            1.8484            2008
32            1.8292            18.6081            18.8065            1.8487            2008
33            1.8281            18.5966            18.7950            1.8476            2007
34            1.8289            18.6043            18.8026            1.8484            2008
35            1.8292            18.6081            18.8065            1.8487            2008
36            1.8296            18.6119            18.8065            1.8487            2007
37            1.8292            18.6081            18.8103            1.8491            2008
38            1.8296            18.6119            18.8103            1.8491            2008
39            1.8296            18.6119            18.8141            1.8495            2007
40            1.8296            18.6119            18.8103            1.8491            2008
41            1.8296            18.6119            18.8103            1.8491            2008
42            1.8296            18.6119            18.8103            1.8491            2008
43            1.8292            18.6081            18.8065            1.8487            2008
44            1.8292            18.6081            18.8065            1.8487            2008
45            1.8300            18.6157            18.8103            1.8491            2007
46            1.8304            18.6195            18.8179            1.8499            2008
47            1.8307            18.6234            18.8217            1.8502            2008
48            1.8311            18.6272            18.8255            1.8506            2007
49            1.8315            18.6310            18.8293            1.8510            2008
50            1.8315            18.6310            18.8332            1.8514            2008
51            1.8326            18.6424            18.8446            1.8525            2007
52            1.8322            18.6386            18.8408            1.8521            2008
53            1.7977            18.2877            18.8522            1.8532            2008
54            1.8349            18.6653            18.8637            1.8544            2008
55            1.8352            18.6691            18.8675            1.8548            2007
56            1.8352            18.6691            18.8713            1.8551            2008
57            1.8356            18.6729            18.8713            1.8551            2008
58            1.8352            18.6691            18.8713            1.8551            2007
59            1.8352            18.6691            18.8713            1.8551            2009
60            1.8352            18.6691            18.8713            1.8551            2008
61            1.8356            18.6729            18.8713            1.8551            2007
62            1.8352            18.6691            18.8713            1.8551            2008
63            1.8356            18.6729            18.8713            1.8551            2008
64            1.8356            18.6729            18.8713            1.8551            2007
65            1.8356            18.6729            18.8713            1.8551            2008
66            1.8352            18.6691            18.8713            1.8551            2008
67            1.8349            18.6653            18.8637            1.8544            2007
68            1.8349            18.6653            18.8675            1.8548            2008
69            1.8356            18.6729            18.8713            1.8551            2008
70            1.8349            18.6653            18.8713            1.8551            2007
71            1.8360            18.6768            18.8789            1.8559            2008
72            1.8360            18.6768            18.8789            1.8559            2008
73            1.8360            18.6768            18.8789            1.8559            2008
74            1.8360            18.6768            18.8828            1.8562            2007
75            1.8364            18.6806            18.8789            1.8559            2008
76            1.8360            18.6768            18.8789            1.8559            2008
77            1.8364            18.6806            18.8789            1.8559            2009
78            1.8364            18.6806            18.8828            1.8562            2007
79            1.8360            18.6768            18.8789            1.8559            2008
80            1.8360            18.6768            18.8828            1.8562            2008
81            1.8364            18.6806            18.8828            1.8562            2007
82            1.8360            18.6768            18.8789            1.8559            2008
83            1.8368            18.6844            18.8751            1.8555            2008
84            1.8364            18.6806            18.8789            1.8559            2008
85            1.8364            18.6806            18.8828            1.8562            2007
